Sagarin Rank,Team,Sagarin Rating
272,Merrimack,65.77
273,SIU-Edwardsville,65.74
274,Mount St. Mary's,65.72
275,Bowling Green,65.65
276,Ga. St.,65.63
277,UTSA,65.59
278,UTRGV,65.49
279,American,65.49
280,UC San Diego,65.48
281,Manhattan,65.46
282,North Dakota,65.35
283,Idaho St.,65.34
284,South Dakota,65.33
285,Md.-Eastern Shore,65.21
286,Coastal Car.,65.12
287,Northeastern,65.09
288,St. Peter's,65.04
289,Tennessee St.,65.03
290,North Ala.,65.02
291,SE Louisiana,64.93
292,Cal State Bakersfield,64.89
293,California Polytechnic,64.86
294,ULM,64.75
295,Tulsa,64.71
296,S. U.,64.66
297,Binghamton,64.64
298,TX S.,64.52
299,High Point,64.49
300,Prairie View A&M,64.41
301,E. Michigan,64.38
302,Nicholls St.,64.38
303,Tennessee-Martin,64.35
304,William & Mary,64.28
305,Stony Brook,64.25
306,Tennessee Tech,64.24
307,W. Michigan,64.22
308,Maine,63.96
309,Denver,63.89
310,Loyola-Maryland,63.84
311,Bucknell,63.81
312,Wagner,63.71
313,Jackson St.,63.55
314,NC A&T,63.34
315,Chicago St.,63.22
316,Kansas City,63.03
317,Charleston S.,62.97
318,Sacred Heart,62.96
319,The Citadel,62.84
320,S. Indiana,62.8
321,Lit Rock,62.73
322,Omaha,62.63
323,Idaho,62.48
324,Alabama A&M,62.35
325,Elon,62.22
326,C. Michigan,62.16
327,NJIT,62.14
328,St. Francis-Pa.,62.01
329,TX A&M-Commerce,61.7
330,Cal State Northridge,61.66
331,Morgan St.,61.64
332,New Orleans,61.53
333,Albany,61.35
334,Austin Peay,61.26
335,Monmouth-NJ,61.21
336,Stonehill,61.04
337,Hampton,61.0
338,McNeese St.,60.64
339,Holy Cross,60.63
340,Presbyterian,60.6
341,Columbia,60.47
342,C. Connecticut St.,60.38
343,C. AR,60.08
344,Evansville,59.8
345,VMI,59.67
346,Arkansas Pine Bluff,59.56
347,Coppin St.,59.54
348,St. Francis,59.54
349,Bethune-Cookman,59.46
350,Incarnate Word,59.0
351,E. Illinois,58.97
352,IUPUI,58.35
353,Fla. A&M,58.33
354,Lindenwood,58.12
355,Alabama State,57.93
356,SC St.,57.54
357,Lamar,57.53
358,Houston Christian,57.12
359,MVSU,56.38
360,Delaware St.,56.34
361,Green Bay,55.77
362,Hartford,54.54
363,Long Island U.,52.8
