Team,KP Rank,KP Conference,Win Loss,KP Net Rtg
Southern Utah,212,WAC,4-0,-3.45
Miami OH,213,MAC,2-2,-3.49
Wyoming,214,MWC,3-1,-3.49
Texas A&M-CC,215,Slnd,1-3,-3.53
Southern Mississippi,216,SB,2-1,-3.88
UMKC,217,Sum,3-2,-3.92
Iona,218,MAAC,1-3,-3.96
Georgia State,219,SB,2-2,-3.96
Howard,220,MEAC,3-2,-4.08
UTEP,221,CUSA,2-1,-4.17
Montana State,222,BSky,1-3,-4.19
Austin Peay,223,ASun,3-1,-4.27
Milwaukee,224,Horz,1-2,-4.52
Florida Gulf Coast,225,ASun,0-4,-4.57
Grambling State,226,SWAC,1-2,-4.60
Bucknell,227,PL,3-2,-4.62
Rice,228,Amer,3-1,-4.86
Little Rock,229,OVC,2-2,-4.94
Albany,230,AE,3-1,-4.96
Gardner-Webb,231,BSth,2-2,-5.15
SIUE,232,OVC,4-2,-5.20
Quinnipiac,233,MAAC,2-2,-5.24
Weber State,234,BSky,1-3,-5.71
Colgate,235,PL,1-3,-5.89
Eastern Kentucky,236,ASun,2-1,-5.91
Idaho State,237,BSky,2-3,-5.98
Rider,238,MAAC,3-1,-6.02
Marist,239,MAAC,2-1,-6.04
Ball State,240,MAC,1-3,-6.21
Pepperdine,241,WCC,1-2,-6.32
North Dakota,242,Sum,2-1,-6.47
Delaware,243,CAA,2-2,-6.47
Cal State Bakersfield,244,BW,3-1,-6.48
Eastern Washington,245,BSky,1-3,-6.50
South Dakota,246,Sum,4-1,-6.51
Maine,247,AE,2-2,-6.53
North Carolina A&T,248,CAA,2-2,-6.62
Brown,249,Ivy,2-3,-6.64
North Dakota State,250,Sum,2-3,-6.66
CCSU,251,NEC,2-2,-6.71
American University,252,PL,1-4,-6.94
Boston University,253,PL,1-3,-7.08
Bowling Green,254,MAC,1-3,-7.28
Mount St. Mary's,255,MAAC,3-1,-7.31
Mercer,256,SC,2-2,-7.34
Alabama State,257,SWAC,1-2,-7.44
Northern Arizona,258,BSky,3-1,-7.50
Elon,259,CAA,1-2,-7.59
Oral Roberts,260,Sum,2-2,-7.68
Pacific,261,WCC,3-3,-7.79
Campbell,262,CAA,3-2,-7.80
Penn,263,Ivy,2-2,-7.97
SELA,264,Slnd,2-2,-8.01
Valparaiso,265,MVC,1-2,-8.08
North Carolina Central,266,MEAC,1-5,-8.12
Evansville,267,MVC,1-3,-8.21
Army,268,PL,2-2,-8.22
Lafayette,269,PL,1-3,-8.30
UTSA,270,Amer,1-2,-8.39
Bethune-Cookman,271,SWAC,1-3,-8.39
Monmouth,272,CAA,0-5,-8.48
Robert Morris,273,Horz,4-2,-8.55
Presbyterian Blue Hose,274,BSth,2-3,-8.55
Omaha,275,Sum,2-3,-8.56
Southern,276,SWAC,1-3,-8.69
Harvard,277,Ivy,1-4,-8.75
Long Beach State,278,BW,1-3,-8.81
San Jose State,279,MWC,1-4,-8.86
Fresno State,280,MWC,1-2,-8.87
Florida International,281,CUSA,1-3,-8.94
Texas Southern,282,SWAC,1-4,-9.22
Green Bay,283,Horz,1-3,-9.25
Fairfield,284,MAAC,2-2,-9.33
Portland,285,WCC,2-2,-9.38
UMBC,286,AE,3-2,-9.42
Lehigh,287,PL,0-4,-9.49
Western Carolina,288,SC,2-1,-9.54
Idaho,289,BSky,1-3,-9.72
Lamar,290,Slnd,1-2,-9.74
Incarnate Word,291,Slnd,3-1,-9.76
Cal Poly,292,BW,3-2,-9.77
San Diego,293,WCC,1-3,-9.81
Tennessee State,294,OVC,2-3,-9.88
Siena,295,MAAC,3-1,-10.01
Cal State Fullerton,296,BW,1-4,-10.12
Stony Brook,297,CAA,2-2,-10.19
Queens,298,ASun,2-2,-10.20
Northwestern State,299,Slnd,1-3,-10.35
Morehead State,300,OVC,1-3,-10.54
South Carolina State,301,MEAC,2-3,-10.68
Tarleton State,302,WAC,1-4,-10.74
Northern Illinois,303,MAC,2-2,-10.82
Navy,304,PL,1-3,-10.85
Wagner,305,NEC,1-3,-10.90
Denver,306,Sum,3-2,-10.93
Coastal Carolina,307,SB,1-3,-10.96
Air Force,308,MWC,1-3,-11.01
Utah Tech,309,WAC,1-3,-11.57
Eastern Michigan,310,MAC,2-2,-11.59
Old Dominion,311,SB,1-3,-11.63
Holy Cross,312,PL,3-2,-11.71
Sacramento State,313,BSky,1-3,-11.89
UT Martin,314,OVC,2-2,-12.20
Manhattan,315,MAAC,2-2,-12.20
Charleston Southern,316,BSth,1-4,-12.30
Southern Indiana,317,OVC,1-4,-12.39
Western Michigan,318,MAC,2-3,-12.52
Loyola-MD,319,PL,2-2,-12.60
Citadel,320,SC,3-2,-12.73
Western Illinois,321,OVC,2-2,-12.77
Jackson State,322,SWAC,0-4,-12.81
SEMO,323,OVC,1-3,-13.05
Eastern Illinois,324,OVC,1-3,-13.32
Hampton,325,CAA,1-3,-13.46
Binghamton,326,AE,2-3,-13.48
USC Upstate,327,BSth,1-4,-13.59
Stetson,328,ASun,1-3,-14.00
Morgan State,329,MEAC,3-2,-14.09
Bellarmine,330,ASun,0-4,-14.12
Louisiana-Monroe,331,SB,2-4,-14.18
Niagara,332,MAAC,1-2,-14.48
Long Island,333,NEC,2-2,-14.58
Buffalo,334,MAC,2-2,-14.66
Central Arkansas,335,ASun,1-3,-14.79
Sacred Heart,336,MAAC,1-5,-15.19
Tennessee Tech,337,OVC,3-2,-15.27
St. Francis,338,NEC,1-4,-15.35
West Georgia,339,ASun,0-4,-15.49
Delaware State,340,MEAC,2-2,-15.66
Le Moyne,341,NEC,1-4,-15.72
Detroit-Mercy,342,Horz,2-2,-15.78
Alabama A&M,343,SWAC,3-1,-15.78
Mercyhurst,344,NEC,3-2,-15.87
VMI,345,SC,4-2,-16.09
Fairleigh Dickinson,346,NEC,2-3,-16.69
Stonehill,347,NEC,2-4,-16.73
Dartmouth,348,Ivy,2-2,-16.76
Prairie View,349,SWAC,1-3,-16.93
Chicago State,350,NEC,0-4,-17.08
Canisius,351,MAAC,0-5,-17.94
Texas A&M Commerce,352,Slnd,1-3,-17.97
Alcorn State,353,SWAC,0-4,-18.74
Lindenwood,354,OVC,2-3,-19.13
Florida A&M,355,SWAC,0-3,-19.33
New Hampshire,356,AE,1-6,-19.38
Houston Christian,357,Slnd,2-2,-19.47
IUPUI,358,Horz,2-3,-19.74
New Orleans,359,Slnd,1-4,-20.08
UMES,360,MEAC,2-4,-20.47
NJIT,361,AE,0-5,-20.71
Arkansas-Pine Bluff,362,SWAC,1-5,-21.91
Coppin State,363,MEAC,0-6,-23.56
Mississippi Valley State,364,SWAC,1-3,-27.84
