Team,NCAA Rank,Road,Neutral,Home,Quad1,Quad2,Quad3,Quad4
Butler,68,4-7,2-2,11-5,4-11,4-3,2-0,7-0
Washington,69,5-6,1-3,11-6,2-7,5-6,6-2,4-0
Kansas St.,70,2-8,2-3,15-3,5-8,4-5,5-1,5-0
VCU,71,5-4,4-3,13-6,1-4,7-5,7-2,7-2
App State,72,8-4,4-2,13-0,2-0,1-0,7-5,15-1
Richmond,73,7-5,1-3,15-1,1-3,5-4,9-2,8-0
Samford,74,8-5,3-0,16-0,0-2,2-0,10-3,15-0
Memphis,75,7-6,2-2,13-2,2-3,4-3,11-3,5-1
UNLV,76,7-3,0-3,10-6,5-5,1-4,6-0,5-3
UC Irvine,77,8-8,3-1,12-0,0-3,1-2,7-3,15-1
South Fla.,78,7-4,2-1,15-2,1-0,5-3,8-2,10-2
North Texas,79,5-5,2-5,9-4,0-6,2-4,9-3,5-1
Duquesne,80,5-6,6-1,12-4,2-3,6-5,5-3,10-0
Boston,81,6-6,3-3,10-6,2-6,4-8,6-1,7-0
Maryland,82,4-8,1-3,11-6,2-9,4-4,3-4,7-0
Yale,83,9-6,4-1,7-2,0-3,3-2,10-2,7-2
Syracuse,84,4-7,1-3,14-2,3-7,4-4,8-1,4-0
Loyola Chicago,85,7-4,1-3,14-2,1-3,4-4,9-1,8-1
Penn St.,86,2-8,1-5,13-4,2-8,4-6,5-2,5-1
St. Bonaventure,87,5-6,4-3,11-4,1-4,3-3,8-3,8-3
USC,88,3-9,3-3,9-6,2-9,5-5,4-3,4-1
Minnesota,89,2-8,0-2,16-4,1-9,5-3,3-2,9-0
Ole Miss,90,4-7,2-1,14-4,3-8,3-4,8-0,6-0
Massachusetts,91,4-6,3-2,13-3,1-1,2-3,8-6,9-1
St. Joseph's,92,3-9,4-1,14-3,1-4,4-5,5-3,11-1
George Mason,93,5-7,1-2,13-3,1-2,3-5,6-5,9-0
LSU,94,3-7,2-3,12-5,4-8,1-6,5-0,7-1
Cornell,95,10-5,2-1,8-1,0-2,1-4,8-0,11-1
Florida St.,96,4-7,3-2,10-7,1-8,9-5,3-2,4-1
Col. of Charleston,97,10-2,4-3,12-2,0-1,1-2,11-4,14-0
Indiana,98,4-6,2-3,13-5,3-9,6-4,4-1,6-0
Louisiana Tech,99,8-7,0-1,11-2,0-3,1-1,6-5,12-1
Georgia,100,4-6,1-4,12-6,1-9,2-6,8-1,6-0
Miami,101,2-9,2-2,11-6,1-9,7-4,1-3,6-1
Vermont,102,10-4,2-1,14-1,0-2,2-0,9-3,15-1
Rutgers,103,3-9,0-3,12-5,2-11,4-4,2-2,7-0
UAB,104,7-5,4-1,11-5,0-4,7-3,9-2,6-2
Santa Clara,105,5-6,4-3,10-4,2-7,4-2,2-1,11-3
Morehead St.,106,9-7,3-0,10-1,0-2,0-2,3-2,19-2
