Team,KP Rank,KP Conference,Win Loss,KP Net Rtg
Marist,236,MAAC,0-0,-5.54
Albany,237,AE,0-0,-5.61
Charleston Southern,238,BSth,0-0,-5.83
Old Dominion,239,SB,0-0,-6.04
Ball St.,240,MAC,0-0,-6.04
Fairfield,241,MAAC,0-0,-6.10
Oral Roberts,242,Sum,0-0,-6.22
Brown,243,Ivy,0-0,-6.22
Delaware,244,CAA,0-0,-6.31
Rider,245,MAAC,0-0,-6.37
Bucknell,246,PL,0-0,-6.40
Southern Miss,247,SB,0-0,-6.44
Morehead St.,248,OVC,0-0,-6.59
Southern,249,SWAC,0-0,-6.62
North Dakota,250,Sum,0-0,-6.63
Little Rock,251,OVC,0-0,-6.71
CSUN,252,BW,0-0,-6.88
North Florida,253,ASun,0-0,-6.88
Maine,254,AE,0-0,-6.95
North Carolina Central,255,MEAC,0-0,-6.98
Grambling St.,256,SWAC,0-0,-7.10
Navy,257,PL,0-0,-7.30
Western Carolina,258,SC,0-0,-7.44
Harvard,259,Ivy,0-0,-7.45
Cal St. Fullerton,260,BW,0-0,-7.47
Radford,261,BSth,0-0,-7.48
Bowling Green,262,MAC,0-0,-7.51
Utah Tech,263,WAC,0-0,-7.56
Lehigh,264,PL,0-0,-7.67
South Dakota,265,Sum,0-0,-7.71
Mount St. Mary's,266,MAAC,0-0,-7.75
Stony Brook,267,CAA,0-0,-7.82
Central Michigan,268,MAC,0-0,-7.96
Wagner,269,NEC,0-0,-8.05
Long Beach St.,270,BW,0-0,-8.07
Austin Peay,271,ASun,0-0,-8.08
Gardner Webb,272,BSth,0-0,-8.12
Fresno St.,273,MWC,0-0,-8.13
Portland,274,WCC,0-0,-8.14
Lafayette,275,PL,0-0,-8.16
FIU,276,CUSA,0-0,-8.18
South Carolina St.,277,MEAC,0-0,-8.19
Lamar,278,Slnd,0-0,-8.56
Texas Southern,279,SWAC,0-0,-8.60
Northern Arizona,280,BSky,0-0,-8.60
UMBC,281,AE,0-0,-8.66
Alabama St.,282,SWAC,0-0,-8.70
Eastern Washington,283,BSky,0-0,-8.73
Idaho,284,BSky,0-0,-8.75
Southeastern Louisiana,285,Slnd,0-0,-8.86
Eastern Kentucky,286,ASun,0-0,-8.98
Pacific,287,WCC,0-0,-9.16
Robert Morris,288,Horz,0-0,-9.27
North Carolina A&T,289,CAA,0-0,-9.38
Army,290,PL,0-0,-9.45
Presbyterian,291,BSth,0-0,-9.50
Cal St. Bakersfield,292,BW,0-0,-9.50
Eastern Michigan,293,MAC,0-0,-9.76
W Illinois,294,OVC,0-0,-9.77
San Diego,295,WCC,0-0,-9.84
Coastal Carolina,296,SB,0-0,-9.85
Stetson,297,ASun,0-0,-9.88
Elon,298,CAA,0-0,-9.95
Queens,299,ASun,0-0,-9.96
Sacramento St.,300,BSky,0-0,-10.06
Bethune Cookman,301,SWAC,0-0,-10.54
Tennessee St.,302,OVC,0-0,-10.55
Central Connecticut,303,NEC,0-0,-10.68
Louisiana Monroe,304,SB,0-0,-10.83
Bellarmine,305,ASun,0-0,-11.06
Campbell,306,CAA,0-0,-11.06
UT Rio Grande Valley,307,Slnd,0-0,-11.32
Idaho St.,308,BSky,0-0,-11.35
Canisius,309,MAAC,0-0,-11.38
Binghamton,310,AE,0-0,-11.56
Morgan St.,311,MEAC,0-0,-11.66
Hampton,312,CAA,0-0,-11.69
Western Michigan,313,MAC,0-0,-12.15
Dartmouth,314,Ivy,0-0,-12.17
Denver,315,Sum,0-0,-12.28
Manhattan,316,MAAC,0-0,-12.33
N Illinois,317,MAC,0-0,-12.38
Nebraska Omaha,318,Sum,0-0,-12.45
New Hampshire,319,AE,0-0,-12.73
Green Bay,320,Horz,0-0,-12.78
SIUE,321,OVC,0-0,-12.79
Niagara,322,MAAC,0-0,-12.86
Incarnate Word,323,Slnd,0-0,-12.91
Southern Indiana,324,OVC,0-0,-13.17
Northwestern St.,325,Slnd,0-0,-13.22
Jackson St.,326,SWAC,0-0,-13.23
Central Arkansas,327,ASun,0-0,-13.53
West Georgia,328,ASun,0-0,-13.73
Southeast Missouri,329,OVC,0-0,-13.73
Siena,330,MAAC,0-0,-13.75
Delaware St.,331,MEAC,0-0,-13.91
E Illinois,332,OVC,0-0,-14.03
Alcorn St.,333,SWAC,0-0,-14.42
NJIT,334,AE,0-0,-14.79
Chicago St.,335,NEC,0-0,-15.01
Le Moyne,336,NEC,0-0,-15.06
Sacred Heart,337,MAAC,0-0,-15.12
Detroit Mercy,338,Horz,0-0,-15.38
Tennessee Martin,339,OVC,0-0,-15.45
Prairie View A&M,340,SWAC,0-0,-15.62
The Citadel,341,SC,0-0,-15.89
Holy Cross,342,PL,0-0,-15.89
Cal Poly,343,BW,0-0,-15.90
Tennessee Tech,344,OVC,0-0,-15.91
Lindenwood,345,OVC,0-0,-16.13
New Orleans,346,Slnd,0-0,-16.32
Buffalo,347,MAC,0-0,-16.39
USC Upstate,348,BSth,0-0,-16.51
Alabama A&M,349,SWAC,0-0,-16.68
St. Francis,350,NEC,0-0,-17.03
Fairleigh Dickinson,351,NEC,0-0,-17.24
Loyola MD,352,PL,0-0,-17.96
LIU,353,NEC,0-0,-18.06
Arkansas Pine Bluff,354,SWAC,0-0,-18.73
Mercyhurst,355,NEC,0-0,-18.86
Stonehill,356,NEC,0-0,-19.30
Houston Christian,357,Slnd,0-0,-19.36
Florida A&M,358,SWAC,0-0,-19.37
VMI,359,SC,0-0,-20.31
Texas A&M Commerce,360,Slnd,0-0,-20.98
IU Indy,361,Horz,0-0,-22.35
Maryland Eastern Shore,362,MEAC,0-0,-22.42
Coppin St.,363,MEAC,0-0,-23.65
Mississippi Valley St.,364,SWAC,0-0,-28.15
